<PAD/>,0
name,1
',2
",",3
to,4
the,5
is,6
a,7
of,8
!,9
t,10
in,11
that,12
will,13
i,14
it,15
n,16
twitter,17
be,18
co,19
https,20
this,21
for,22
we,23
s,24
are,25
you,26
as,27
but,28
on,29
\?,30
at,31
not,32
have,33
with,34
all,35
more,36
can,37
by,38
what,39
my,40
no,41
if,42
was,43
so,44
people,45
and,46
has,47
from,48
\),49
should,50
there,51
one,52
they,53
than,54
starlink,55
even,56
an,57
\(,58
just,59
do,60
like,61
re,62
who,63
much,64
russia,65
many,66
most,67
blue,68
or,69
good,70
also,71
some,72
great,73
back,74
which,75
'twitter,76
about,77
me,78
would,79
now,80
m,81
verified,82
their,83
next,84
did,85
ukraine,86
right,87
actually,88
how,89
been,90
ve,91
get,92
time,93
still,94
why,95
way,96
thing,97
working,98
before,99
out,100
when,101
far,102
accurate,103
had,104
real,105
new,106
work,107
make,108
then,109
high,110
up,111
better,112
think,113
super,114
internet,115
spacex,116
it',117
few,118
content,119
other,120
exactly',121
war,122
probably,123
tesla,124
too,125
very,126
only,127
want,128
lot,129
information,130
our,131
day,132
every,133
your,134
could,135
he,136
long,137
yup',138
yes',139
those,140
account,141
seen,142
question,143
times,144
don,145
'https,146
power,147
coming,148
money,149
off,150
year,151
8',152
nhttps,153
use,154
being,155
doesn,156
8,157
absolutely',158
part,159
already,160
trying,161
release,162
countries,163
any,164
something,165
without,166
were,167
losing,168
true,169
definitely,170
nukes,171
possible,172
know,173
source,174
world,175
pay,176
both,177
below,178
due,179
soon,180
tweets,181
almost,182
cost,183
going,184
earth,185
30,186
legacy,187
week',188
system,189
tweet,190
left,191
accounts,192
into,193
parody,194
burnt,195
hair,196
pretty,197
d,198
ll,199
need,200
take,201
clear,202
say,203
media,204
same,205
let,206
down,207
app,208
keep,209
major,210
absolutely,211
community,212
true',213
several,214
america,215
companies,216
sounds,217
needs,218
'this,219
interesting',220
'to,221
given,222
yeah,223
see,224
add,225
satellites,226
please,227
team,228
launch,229
video,230
month,231
appreciated,232
per,233
months,234
'the,235
its,236
able,237
side,238
comms,239
impersonation,240
change,241
look,242
week,243
support,244
yes,245
sure,246
love,247
until,248
sold,249
over,250
such,251
moderation,252
two,253
10,254
each,255
'and,256
company,257
them,258
test,259
idea,260
verification,261
journalism,262
3,263
choice,264
server,265
everything,266
defeat,267
spam,268
slow,269
done,270
doing,271
said,272
safety,273
twitter',274
thread',275
hope,276
welcome,277
list,278
notes,279
exactly,280
these,281
wrong,282
own,283
talk,284
crimea,285
rockets,286
'i,287
someone,288
user,289
falcon,290
does,291
space,292
maybe,293
guy,294
dod,295
office,296
forward,297
big,298
refresh,299
end,300
small,301
interesting,302
try,303
bird,304
well,305
needed,306
cause,307
feels,308
goal,309
home,310
cool,311
gps,312
today,313
problem,314
days,315
come,316
might,317
terminals,318
best,319
again,320
anyone,321
1200,322
microservices,323
critical,324
citizen,325
stop,326
search,327
though,328
agreed,329
used,330
following,331
accurate',332
matters,333
fact,334
nwe,335
now',336
getting,337
his,338
destroy,339
suspended,340
hate,341
first,342
while,343
actual,344
less,345
false',346
coming',347
between,348
widely,349
nothing,350
active,351
years,352
independent,353
voting,354
asked,355
platform,356
do',357
version,358
satellite,359
technology,360
birds,361
since,362
single,363
42,364
longer,365
johnson,366
set,367
answer,368
provide,369
ability,370
latter,371
checkmarks,372
months',373
never,374
place,375
best',376
current,377
starship,378
alien,379
continues,380
awesome,381
giving,382
include,383
bottles,384
sides,385
obviously,386
users,387
signal,388
little,389
cool',390
affiliation,391
'we,392
capability,393
hq,394
made,395
wait,396
people',397
25,398
making,399
ever,400
agree,401
within,402
may,403
google,404
democrat,405
another,406
certainly,407
go,408
design,409
orbit,410
party,411
point,412
nthe,413
matter,414
wants,415
number,416
data,417
usage,418
de,419
essential,420
scam,421
india,422
so',423
v11,424
beta,425
us,426
way',427
fast,428
this',429
smart,430
stuff,431
buy,432
android,433
news,434
under,435
truly,436
well',437
free,438
via,439
production,440
evolve,441
council,442
commitment,443
speech,444
food,445
because,446
20,447
firing,448
ok,449
double,450
thanks,451
birdwatch,452
saying,453
growth,454
u200d,455
happens,456
least,457
bots,458
paid,459
haha',460
groups,461
start,462
outcome,463
bandwidth,464
2,465
level,466
insulin,467
fake,468
case,469
na,470
built,471
quite,472
integrity,473
battlefield,474
hear,475
she,476
perhaps,477
hashtag,478
baby,479
truth,480
political,481
revenue,482
logic,483
service,484
69,485
advertisers,486
concerning',487
tbh,488
nuclear,489
probability,490
secs,491
messed,492
using,493
massive,494
harder,495
ok',496
future',497
serving,498
fair,499
divergent,500
beliefs,501
become,502
7,503
works,504
time',505
mom,506
'you,507
voters,508
worst,509
therefore,510
recommend,511
republican,512
lower,513
priority,514
standard,515
speeds,516
hours,517
happening,518
nas,519
significant,520
increases,521
maybe',522
online,523
9,524
min,525
fixed,526
monetization,527
ligma,528
donate,529
x,530
feedback,531
apple,532
handles,533
soon',534
came,535
told,536
funding',537
form,538
text,539
especially,540
bizarre,541
served,542
past,543
fan,544
fragrance,545
congratulations,546
definitely',547
