1,1,USER_MENTION people have no idea how fast twitter will evolve
2,1,USER_MENTION yep
3,1,USER_MENTION USER_MENTION sure talk
4,1,USER_MENTION wait a second how do we know not an alien body snatcher pretending to be jimmy something that only the real jimmy would say
5,1,USER_MENTION why is that
6,1,USER_MENTION sounds like a job for USER_MENTION
7,1,USER_MENTION to heir is human to forgive divine something like that
8,0,USER_MENTION fix what
9,1,USER_MENTION maybe
10,1,USER_MENTION USER_MENTION USER_MENTION USER_MENTION congratulations
11,1,USER_MENTION USER_MENTION x will be the everything app
12,1,USER_MENTION the taint haha
13,1,USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION yeah nextlevel
14,0,USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION fasting no tasty food near me
15,1,USER_MENTION USER_MENTION USER_MENTION USER_MENTION down lbs
16,1,USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION yup
17,0,USER_MENTION
18,0,USER_MENTION my apologies this will be fixed within a week two at most
19,1,USER_MENTION USER_MENTION USER_MENTION agreed what will matter in the future is how many verified followers you have
20,1,USER_MENTION widen v11 beta before thanksgiving
21,0,USER_MENTION USER_MENTION hard to say celeb who being able to sort by follower count disallowing deliberate impersonation probably solves this
22,1,USER_MENTION all unpaid legacy blue checkmarks will be removed in a few months
23,1,USER_MENTION with new release changing your verified name will cause loss of checkmark until name is confirmed by twitter to meet terms of service
24,0,USER_MENTION
25,0,USER_MENTION USER_MENTION
26,1,punting relaunch of blue verified to november to make sure that it is rock solid
27,0,USER_MENTION false
28,1,USER_MENTION USER_MENTION interesting thread
29,1,USER_MENTION USER_MENTION USER_MENTION much appreciated spacex will not let nasa down
30,0,important to admit when wrong firing them was truly one of my biggest mistakes
31,1,welcoming back ligma johnson URL
32,1,USER_MENTION actual silicon valley is way crazier
33,1,USER_MENTION this is just as a result of people living longer population collapse is already builtin due to dramatically decreasing birth rates
34,0,USER_MENTION USER_MENTION
35,0,USER_MENTION false
36,1,USER_MENTION USER_MENTION USER_MENTION USER_MENTION much appreciated
37,1,USER_MENTION USER_MENTION schrep is great
38,0,USER_MENTION a tragic case of adult onset
39,1,USER_MENTION USER_MENTION you make a compelling case
40,0,USER_MENTION the injustice of it all
41,1,USER_MENTION USER_MENTION seriously
42,1,USER_MENTION USER_MENTION ligma johnson are welcome back anytime
43,1,USER_MENTION i would like to apologize for firing these geniuses their immense talent will no doubt be of great use elsewhere
44,1,USER_MENTION cue obama giving himself a medal meme
45,1,USER_MENTION exactly
46,1,USER_MENTION server control team knows because they stop working from time to time why they have the list
47,1,USER_MENTION true server side can and has been bruteforced but that solve weak internet connections older noting that twitter in india many other countries is slow even on latest iphone
48,1,USER_MENTION starlink is rebuilding the internet in space so maybe i know slightly more than some guy who wrote code for a website
49,1,USER_MENTION there are server side of which are critical to twitter working at all according to server control team down that number reducing data usage serialized trips simplifying app are all needed to improve speed of use
50,0,USER_MENTION twitter is very slow in india indonesia many other countries this is fact not to secs to refresh homeline tweets is common sometimes it work at all especially on android question is how much delay is due to
51,1,USER_MENTION mr words are much appreciated
52,1,USER_MENTION USER_MENTION USER_MENTION USER_MENTION
53,1,USER_MENTION USER_MENTION malenia battle was nextlevel intense
54,0,USER_MENTION USER_MENTION yes although it seemed almost impossible at times
55,1,USER_MENTION the ratings on this simulation are incredible
56,1,USER_MENTION definitely
57,0,USER_MENTION USER_MENTION why is twitter unusably slow in many countries seems odd that this would be bandwidth only
58,0,USER_MENTION yeah i hate it
59,1,by the the people
60,1,twitter is all the news
61,1,USER_MENTION next test is sec firing with max oxygen fill to test autogenous pressurization possibly one more static fire then orbital launch attempt
62,1,USER_MENTION test went well
63,0,USER_MENTION USER_MENTION USER_MENTION
64,0,USER_MENTION USER_MENTION
65,0,USER_MENTION why the puff piece USER_MENTION
66,1,USER_MENTION good question
67,0,USER_MENTION did seem a little dr evil tbh haha
68,0,USER_MENTION this is an external analysis not from twitter it is lower than published mdau
69,0,URL
70,1,USER_MENTION full test duration of engines
71,1,recent trend is promising URL
72,1,USER_MENTION USER_MENTION USER_MENTION what i said
73,1,USER_MENTION USER_MENTION in some parts of the world refresh takes seconds
74,1,USER_MENTION USER_MENTION how many serial requests are made by app to refresh timeline
75,1,USER_MENTION and we will finally stop adding what device a tweet was written on waste of screen space compute below every tweet literally no one even knows why we did that
76,0,USER_MENTION part of today will be turning off the bloatware less than are actually needed for twitter to work
77,0,USER_MENTION i was told rpcs independently by several engineers at twitter which matches of microservices the exemployee is app in us takes secs to refresh too long but secs in india due to bad comms actually useful data transferred is low
78,1,USER_MENTION USER_MENTION that is not good
79,1,USER_MENTION USER_MENTION USER_MENTION this is up to the tesla board
80,1,USER_MENTION USER_MENTION can you cite specific instances of significance
81,1,USER_MENTION USER_MENTION USER_MENTION i have tesla covered too will be there part of this week
82,0,USER_MENTION USER_MENTION USER_MENTION the bizarre part
83,0,USER_MENTION
84,1,USER_MENTION USER_MENTION how was it proven
85,1,USER_MENTION yay investing in tesla
